teks,label
"Barangnya sesuai foto dan pengirimannya cepat sekali",1
"Kualitas bahan terasa premium, jahitannya rapi",1
"Sudah dipakai seminggu, baterainya awet seharian penuh",1
"Pelayanan penjualnya ramah dan responsif saat ditanya",1
"Harga segini dapat kualitas seperti ini jelas sepadan",1
"Paket datang lebih cepat dari perkiraan, packing aman",1
"Rasanya enak, porsinya pas, pasti pesan lagi",1
"Suaranya jernih dan bass-nya mantap untuk harganya",1
"Aplikasinya ringan dan tidak banyak iklan mengganggu",1
"Bukunya dicetak bagus, kertasnya tebal dan tidak tembus",1
"Mesinnya halus, irit bensin, nyaman buat harian",1
"Krimnya cocok di kulit saya, wajah terasa lembap",1
"Layar jernih, warnanya akurat, mantap buat nonton",1
"Sangat membantu pekerjaan saya, fiturnya lengkap",1
"Sudah langganan dan tidak pernah kecewa, direkomendasikan",1
"Barang datang dalam keadaan rusak dan kotak penyok",0
"Bahannya tipis dan mudah robek setelah sekali pakai",0
"Baterai cepat habis, baru dipakai sebentar sudah lemah",0
"Penjual lambat membalas dan pengiriman molor berhari-hari",0
"Tidak sesuai deskripsi, ukurannya jauh lebih kecil",0
"Rasanya hambar dan porsinya sangat sedikit",0
"Suaranya pecah di volume tinggi, sangat mengecewakan",0
"Aplikasinya sering tertutup sendiri dan boros memori",0
"Cetakan bukunya buram dan banyak halaman terlipat",0
"Mesin kasar dan boros, sering mogok di tanjakan",0
"Kulit saya malah bermasalah setelah memakai produk ini",0
"Layar bergaris setelah dua hari, klaim garansi dipersulit",0
"Fiturnya minim dan sering error saat dibuka",0
"Kualitas buruk, tidak sebanding dengan harganya",0
"Kecewa berat, barang tidak sampai dan dana sulit kembali",0
